Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
5fbf744c_batch0,"[""{\n\t\""conservatism\"": 68,\n\t\""populism\"": 42\n}""]",,11.846126079559326,4200,768,827,,[],['resp_0dbfa389317a90eb0069a81847c5988193af03b66a22690a7d'],True
2f926b27_batch0,"[""{\n  \""conservatism\"": 72,\n  \""populism\"": 22\n}""]",,6.835241317749023,8491,384,460,,[],['resp_06913580c6ca1eb10069a8184f65e0819baacc9d37cde82bc6'],True
96be3758_batch0,"[""{\n  \""populism\"": 33,\n  \""conservatism\"": 78\n}""]",,15.999570846557617,23435,960,997,,[],['resp_0c1f84005c405d220069a81846fc288195a4cbaba38c63b0a4'],True
3b77f34c_batch0,"[""{\n\t\""populism\"": 68,\n\t\""conservatism\"": 83\n}""]",,13.487643957138062,25171,704,760,,[],['resp_0efdb55ca94ea6030069a81849f32c81908dddf82c4e2d2b2f'],True
2f3e5188_batch0,"[""{\n\t\""populism\"": 38,\n\t\""conservatism\"": 34\n}""]",,10.345831155776978,27306,576,643,,[],['resp_03afceedcf7780cb0069a8184e90b88193b1c704fedccf7195'],True
dd2a0120_batch0,"[""{\n  \""populism\"": 60,\n  \""conservatism\"": 35\n}""]",,8.344397068023682,31623,512,568,,[],['resp_06fc27e87293417d0069a81850f7e48198871a20eb373b5ff2'],True
6f887208_batch0,"[""{\n\t\""conservatism\"": 88,\n\t\""populism\"": 74\n}""]",,9.773563861846924,2855,448,505,,[],['resp_0bc9dcb5a1127ab30069a8184fdee88194bc11e0cd5b6145f2'],True
101cb9f8_batch0,"[""{\n  \""populism\"": 45,\n  \""conservatism\"": 35\n}""]",,8.163347959518433,4315,576,611,,[],['resp_03fc65620e00b19b0069a81851c32081988c19fde4a1b24e8e'],True
1989c6eb_batch0,"[""{\n  \""populism\"": 25,\n  \""conservatism\"": 72\n}""]",,8.515989780426025,11906,576,644,,[],['resp_0b4370462be443550069a81852fc548197bf02b776a4739af5'],True
8b5f3a7c_batch0,"[""{\n  \""populism\"": 12,\n  \""conservatism\"": 78\n}""]",,10.568902969360352,2743,512,553,,[],['resp_067390322d0281180069a818517394819aa4e4befcbb0c520d'],True
1501be28_batch0,"[""{\n  \""conservatism\"": 75,\n  \""populism\"": 40\n}""]",,9.15652084350586,13477,576,603,,[],['resp_0d4dc1d9ad2d714c0069a81853a2688193926370e4512bc6ee'],True
5d3d79df_batch0,"[""{\n  \""populism\"": 82,\n  \""conservatism\"": 78\n}""]",,12.637559652328491,14176,640,729,,[],['resp_032e256581ed56da0069a81850be6481988792eab9ce8f8912'],True
6317e903_batch0,"[""{\n  \""conservatism\"": 74,\n  \""populism\"": 18\n}""]",,12.126141786575317,8392,832,863,,[],['resp_022f47cd3e83f78b0069a818515d34819b98fae9ab37215d82'],True
3002cd89_batch0,"[""{\n  \""conservatism\"": 85,\n  \""populism\"": 25\n}""]",,12.639801025390625,2016,640,710,,[],['resp_0603d9b6da86079f0069a818512d8c819b8077e4b9d30a4912'],True
323c5b64_batch0,"[""{\n\t\""conservatism\"": 82,\n\t\""populism\"": 58\n}""]",,7.153639793395996,6996,384,434,,[],['resp_0b599be332cf47620069a81856cff08199ad99e13f06582118'],True
be8a322e_batch0,"[""{\n  \""populism\"": 34,\n  \""conservatism\"": 75\n}""]",,10.699780941009521,5380,640,680,,[],['resp_03b070f9cb3cfca40069a81853300c8194a5ba3e999257bdb0'],True
4255acdc_batch0,"[""{\n\t\""populism\"": 35,\n\t\""conservatism\"": 85\n}""]",,8.118438005447388,8231,448,511,,[],['resp_0d5340d5eb04ff910069a8185630ac81999dcd0802d88f7bd4'],True
b58e84a7_batch0,"[""{\n\t\""conservatism\"": 74,\n\t\""populism\"": 63\n}""]",,13.733212947845459,2875,768,817,,[],['resp_00b9ce0be15ca76b0069a81850ec50819a97fee917df2028a5'],True
