Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
8de703a6_batch0,"[""{\n  \""politics\"": true,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regulation\"": true,\n  \""business\"": true,\n  \""world\"": false,\n  \""regional\"": false\n}""]",,6.234808921813965,387,640,755,,[],['resp_01b9fb33cc2198c50069a98517f5d08198aec6c8b0ac688d96'],True
cf84a285_batch0,"[""{\n  \""business\"": true,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""politics\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""regional\"": true\n}""]",,6.274172782897949,423,704,812,,[],['resp_067c46c3f5637dfa0069a98517fb3881908a48bcba942b82e1'],True
ece8eec8_batch0,"[""{\n  \""politics\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""regional\"": false,\n  \""business\"": true\n}""]",,6.352433919906616,463,832,937,,[],['resp_022aadfc7b63799b0069a98517fe7081979d179d6e9a1024b7'],True
c38ab450_batch0_run2,"[""{\n  \""business\"": true,\n  \""sports\"": false,\n  \""world\"": false,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false\n}""]",,2.525506019592285,404,192,305,,[],['resp_0ba88a700b54c31c0069a9851baf388198b0979b11257e38ca'],True
673dacff_batch0,"[""{\n  \""politics\"": false,\n  \""regional\"": true,\n  \""regulation\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""world\"": false,\n  \""sports\"": false\n}""]",,4.270376920700073,414,448,542,,[],['resp_0ffd966263cbdf1c0069a9851a7ac8819a9c52df22d1047c19'],True
efca63e8_batch0_run2,"[""{\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false\n}""]",,2.8197760581970215,413,192,308,,[],['resp_05320fb7be50ad450069a9851bbf4c819a825a37601dafc456'],True
05476a77_batch0,"[""{\n    \""regional\"": false,\n    \""sports\"": false,\n    \""politics\"": false,\n    \""business\"": true,\n    \""sci/tech\"": false,\n    \""world\"": false,\n    \""regulation\"": false\n}""]",,4.0192039012908936,460,448,518,,[],['resp_00485bdec82e68780069a9851ab7e08198abb9be4ef4432600'],True
73105f18_batch0,"[""{\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""regulation\"": false,\n  \""world\"": false\n}""]",,4.935114860534668,452,320,381,,[],['resp_0d9310a8431e84540069a9851a1b0481978d64b6f6d9005ef6'],True
2833ae53_batch0,"[""{\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regional\"": false,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""sports\"": false\n}""]",,7.091384172439575,438,960,1020,,[],['resp_050ecccb35691dbd0069a98517fe28819592c0a422e26ba2fa'],True
e294b595_batch0,"[""{\n  \""sci/tech\"": false,\n  \""regional\"": true,\n  \""business\"": true,\n  \""sports\"": false,\n  \""regulation\"": true,\n  \""politics\"": false,\n  \""world\"": false\n}""]",,7.091532230377197,408,896,996,,[],['resp_00d91c64db813ff90069a98518b96481959b34e4fb9fd1722e'],True
8d7ae3db_batch0,"[""{\n  \""business\"": true,\n  \""regulation\"": true,\n  \""politics\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regional\"": false\n}""]",,5.602373123168945,431,448,564,,[],['resp_0acdfaf19c8f8ad90069a9851972148195a55cae18251f0cc2'],True
c38ab450_batch0,"[""{\n  \""business\"": true,\n  \""sports\"": false,\n  \""world\"": false,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false\n}""]",,7.5665602684021,404,1088,1149,,[],['resp_0ef081be388740610069a98517fa308196907a743055a80ad2'],True
3291ab72_batch0,"[""{\n  \""sports\"": false,\n  \""business\"": true,\n  \""sci/tech\"": true,\n  \""regulation\"": false,\n  \""politics\"": false,\n  \""world\"": false,\n  \""regional\"": false\n}""]",,7.3773229122161865,399,832,898,,[],['resp_060c3dc7b2394b960069a98517ff0c81969bccf0793b002b2c'],True
f964f65f_batch0,"[""{\n  \""world\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""regulation\"": false\n}""]",,6.085132122039795,444,896,956,,[],['resp_0575dc82bd01aad00069a98519541881989568edd5b46bec2b'],True
67474da8_batch0,"[""{\n  \""world\"": false,\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""regulation\"": false,\n  \""sports\"": false\n}""]",,5.802390813827515,433,512,629,,[],['resp_0ee44bd5802a71060069a9851995488199b6b5b319429f3272'],True
c9217e3e_batch0_run2,"[""{\n  \""regional\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""sports\"": false\n}""]",,3.924189805984497,425,448,513,,[],['resp_0e38f7e094f9d97c0069a9851bb36081989b2ff343e971949a'],True
c96ebb59_batch0,"[""{\n  \""politics\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": true,\n  \""business\"": false,\n  \""sports\"": false,\n  \""regional\"": false\n}""]",,6.606568098068237,423,896,997,,[],['resp_095c6ac2d3878a980069a985191f588196ac2f38f18bceda7e'],True
e9ddd4ec_batch0,"[""{\n  \""regional\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": false\n}""]",,4.093061923980713,469,320,400,,[],['resp_040c9d0cb0d6f32b0069a9851b89c481978c6433595ef6ee5f'],True
03c0708e_batch0_run2,"[""{\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""politics\"": false\n}""]",,3.0840108394622803,412,384,442,,[],['resp_01eba8c73b5ef00d0069a9851c9e808197a1d88497ced7855e'],True
d39c2a88_batch0,"[""{\n  \""sci/tech\"": false,\n  \""world\"": false,\n  \""regional\"": false,\n  \""regulation\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""politics\"": false\n}""]",,4.388615846633911,434,384,448,,[],['resp_03ea20c5ee251ca40069a9851b70d4819ba4f69c9fd81e5a34'],True
fe916a64_batch0,"[""{\n  \""world\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""politics\"": false,\n  \""sports\"": false\n}""]",,4.613765001296997,398,576,640,,[],['resp_0c3cd4951422fce70069a9851b3f28819a9b5ccefc115188a0'],True
9f706677_batch0_run2,"[""{\n  \""world\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""politics\"": false\n}""]",,3.438114643096924,394,256,359,,[],['resp_09d37be8831382f00069a9851c800481959a39b033f07445a3'],True
d78f064b_batch0,"[""{\n  \""world\"": false,\n  \""politics\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regulation\"": false\n}""]",,4.70833420753479,485,448,563,,[],['resp_0ff3fe046dbca0280069a9851b3bfc819bb69e3738ff597808'],True
11ba9ab5_batch0,"[""{\n  \""sports\"": false,\n  \""regulation\"": true,\n  \""politics\"": true,\n  \""business\"": true,\n  \""world\"": false,\n  \""regional\"": false,\n  \""sci/tech\"": false\n}""]",,4.502152919769287,419,576,633,,[],['resp_04eeecc2a6c3eed30069a9851b7d98819387de5e6eb0783604'],True
8aa99d99_batch0_run2,"[""{\n  \""business\"": true,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""regional\"": false\n}""]",,2.8507680892944336,408,256,335,,[],['resp_03d5268cd1b92b670069a9851d66948195868472d0fb8b1950'],True
09c69743_batch0_run2,"[""{\n  \""regulation\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false\n}""]",,3.123750925064087,441,256,353,,[],['resp_03f9c392863254c40069a9851d3b28819b82c8ff1ab7969981'],True
6ea9dce7_batch0,"[""{\n    \""regulation\"": false,\n    \""sci/tech\"": false,\n    \""sports\"": false,\n    \""politics\"": false,\n    \""business\"": true,\n    \""world\"": false,\n    \""regional\"": false\n}""]",,8.52167010307312,392,1024,1120,,[],['resp_02e289681b43d0400069a98517fac8819b95d16cd3c8140481'],True
13c4c276_batch0_run2,"[""{\n    \""politics\"": false,\n    \""world\"": false,\n    \""regulation\"": false,\n    \""sports\"": false,\n    \""business\"": true,\n    \""sci/tech\"": false,\n    \""regional\"": false\n}""]",,3.9677040576934814,469,320,425,,[],['resp_0a374f2a857998b90069a9851c945c819a9dc84be1960fd01e'],True
912fdbe0_batch0_run2,"[""{\n  \""world\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""regulation\"": true,\n  \""sports\"": false,\n  \""sci/tech\"": false\n}""]",,4.770072937011719,449,640,720,,[],['resp_05405c6e09957d480069a9851bc358819b963aa28bcde9c86e'],True
ac6acb3e_batch0,"[""{\n  \""sports\"": true,\n  \""business\"": true,\n  \""regional\"": false,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false\n}""]",,5.126289129257202,442,512,597,,[],['resp_09ce70ae245626300069a9851b71cc8197bb52d5a828184946'],True
6ea9dce7_batch0_run2,"[""{\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""world\"": false,\n  \""regional\"": false\n}""]",,4.406557083129883,392,512,591,,[],['resp_0e650018cfaef8a20069a9851c4718819ab6d65bf93eca77ba'],True
a8a1a23a_batch0_run2,"[""{\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": true,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regional\"": false\n}""]",,3.7893240451812744,390,448,543,,[],['resp_02b8595fbb7c87a20069a9851d1a98819486a6d7701b0525da'],True
d9b3a4ca_batch0_run2,"[""{\n  \""regional\"": false,\n  \""world\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": true\n}""]",,5.090895175933838,412,512,622,,[],['resp_01866e45aee001750069a9851bd50c8190a64652982cf6b4d9'],True
94da27cd_batch0,"[""{\n  \""world\"": false,\n  \""sci/tech\"": true,\n  \""regulation\"": true,\n  \""regional\"": false,\n  \""sports\"": false,\n  \""business\"": false,\n  \""politics\"": true\n}""]",,5.326758146286011,427,384,474,,[],['resp_0c2b4cee5f3682560069a9851b7bcc81909aab20f3d31f3237'],True
05e48ce7_batch0,"[""{\n  \""world\"": false,\n  \""regional\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false\n}""]",,5.329383850097656,423,512,625,,[],['resp_0ecfd53ebba64a440069a9851bab60819aa9c91e176a28ef4e'],True
28555c2e_batch0,"[""{\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""regional\"": false\n}""]",,6.339321136474609,445,896,1006,,[],['resp_04dd6e4acf15fc510069a9851af4888194b90b74509afdf8d7'],True
f552a1a8_batch0_run2,"[""{\n  \""business\"": true,\n  \""politics\"": false,\n  \""regional\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false\n}""]",,4.3672099113464355,404,448,517,,[],['resp_0ccd90062153f4f20069a9851cff748193a346afefa96cd9e6'],True
a77e4fe2_batch0,"[""{\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""sci/tech\"": true,\n  \""regional\"": false\n}""]",,6.147912979125977,436,640,726,,[],['resp_03f400c56c8237190069a9851b3bb8819bb15bc84e4be6632c'],True
411390ad_batch0,"[""{\n  \""politics\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""regional\"": false\n}""]",,5.993853330612183,424,640,724,,[],['resp_0ccdef35c42d38880069a9851b6d98819681a0668645bcd839'],True
dcd1e967_batch0,"[""{\n    \""sports\"": false,\n    \""politics\"": true,\n    \""business\"": true,\n    \""regulation\"": true,\n    \""sci/tech\"": false,\n    \""world\"": false,\n    \""regional\"": false\n}""]",,6.359643936157227,435,896,990,,[],['resp_0445b5894e08b5a10069a9851b0794819b835590342f0a2deb'],True
5aec23d5_batch0_run2,"[""{\n  \""regulation\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""world\"": false\n}""]",,4.828851222991943,467,704,772,,[],['resp_05898d36caeef05d0069a9851c963c8193a788aeaff24f0d07'],True
fbbe1535_batch0,"[""{\n  \""regional\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": true,\n  \""sports\"": false,\n  \""world\"": false\n}""]",,7.786608934402466,444,640,748,,[],['resp_047b426bdba0883a0069a9851a93288194af94f749c05384f2'],True
57880d84_batch0,"[""{\n  \""business\"": true,\n  \""politics\"": true,\n  \""world\"": true,\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regulation\"": false\n}""]",,8.511616945266724,440,768,836,,[],['resp_0902b8e8ffe9904d0069a9851a420c8196b271df132245b2ce'],True
9ea34dcc_batch0,"[""{\n  \""world\"": false,\n  \""regulation\"": false,\n  \""politics\"": true,\n  \""regional\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true\n}""]",,7.367193937301636,438,768,875,,[],['resp_0bc3a3b72ff1e7b40069a9851b76ec8190a82f383d30149986'],True
512ef939_batch0_run2,"[""{\n  \""business\"": true,\n  \""sci/tech\"": true,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""politics\"": false,\n  \""regional\"": false\n}""]",,6.381014108657837,389,896,1012,,[],['resp_05744145dfd8287b0069a9851c904c819aa27795d5952cec34'],True
8de703a6_batch0_run2,"[""{\n  \""world\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""politics\"": true,\n  \""regulation\"": true\n}""]",,7.415574073791504,387,1024,1095,,[],['resp_0e4bbcecf8c515e20069a9851c1f3881908be5439a8b86d6d7'],True
9514d2c2_batch0_run2,"[""{\n  \""sci/tech\"": true,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""business\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""regulation\"": false\n}""]",,6.9410459995269775,400,576,687,,[],['resp_06abc0e9700352060069a9851c7ad8819bb7f5a728a27337e1'],True
3291ab72_batch0_run2,"[""{\n  \""sports\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""politics\"": false,\n  \""world\"": false,\n  \""regional\"": false\n}""]",,7.525948762893677,399,896,957,,[],['resp_098ea286b061b1100069a9851c7c78819a8e48365999b54d3f'],True
2833ae53_batch0_run2,"[""{\n  \""world\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""regional\"": false\n}""]",,7.234039783477783,438,768,872,,[],['resp_006ba4e1a11d74140069a9851cbd208195aa6186b39d4be003'],True
05476a77_batch0_run2,"[""{\n  \""regional\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""world\"": false,\n  \""regulation\"": false\n}""]",,4.316410064697266,460,384,440,,[],['resp_02852b98a4fbed200069a9851fa50c8198a82b0715a4e5bbc8'],True
f964f65f_batch0_run2,"[""{\n  \""world\"": false,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""regulation\"": false\n}""]",,4.720261812210083,444,512,594,,[],['resp_0562948a43a7a1840069a9851f6c248195b2f1a2d95c28bcfb'],True
28555c2e_batch0_run2,"[""{\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""regional\"": false\n}""]",,4.670407056808472,445,448,512,,[],['resp_0767a40f0d33f1a70069a9851fb0648199aecf53292d9e4c10'],True
2e218fba_batch0_run2,"[""{\n  \""business\"": true,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""regional\"": false,\n  \""sports\"": false\n}""]",,4.464001893997192,466,320,434,,[],['resp_0d3a6235216209270069a9851ffc908199bb5b81ab8b63e2ad'],True
e30e1b5d_batch0_run2,"[""{\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": true,\n  \""politics\"": false,\n  \""business\"": true\n}""]",,5.025283098220825,420,448,507,,[],['resp_04db6321c124b9990069a9851ff0608197b84c5ca2060e8bb7'],True
94da27cd_batch0_run2,"[""{\n  \""world\"": false,\n  \""sci/tech\"": true,\n  \""regulation\"": true,\n  \""regional\"": false,\n  \""sports\"": false,\n  \""business\"": false,\n  \""politics\"": true\n}""]",,4.523317098617554,427,384,449,,[],['resp_0db052e957795b600069a985206f7c819b97f1c25a1bf9be67'],True
05e48ce7_batch0_run2,"[""{\n  \""regulation\"": false,\n  \""regional\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""world\"": false\n}""]",,4.392781972885132,423,320,401,,[],['resp_07b947ab47601b2c0069a98520a8fc8199a011c7481a3aac27'],True
efca63e8_batch0_run3,"[""{\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false\n}""]",,4.084451198577881,413,320,375,,[],['resp_017dd6ed1c3408700069a98520e108819a9221073358f42693'],True
fbbe1535_batch0_run2,"[""{\n  \""regional\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": true,\n  \""sports\"": false,\n  \""world\"": false\n}""]",,5.685240268707275,444,512,604,,[],['resp_03fa8966ad3e012a0069a9851f47688199bb2d87e5362e10e5'],True
