text,run,world,sports,sci/tech,business,politics,regulation,regional
"Agentic AI: The Evolution Of Machines That Think For Themselves.In the annals of technological evolution, few concepts have sparked as much intrigue and debate as Agentic Artificial Intelligence (AI).&#8230;",1,False,False,True,False,False,False,False
"BSNL Q3 profit after 17 years at ₹262 crore.BSNL returns to profitability after 17 years, marking a significant turning point with growth in services and subscriber base",1,False,False,False,True,False,False,False
"Indian loyalty startup raises $1.85m seed funding.Almonds.ai serves channel partners like retailers and mechanics, partnering with over 100 distribution-driven firms.",1,False,False,True,True,False,False,False
"New India Cooperative Bank case: GM Hitesh Shah sent to police custody till Feb 21 for alleged Rs 122 cr fraud.New India Cooperative Bank's general manager, Hitesh Mehta, has been arrested for allegedly embezzling Rs 122 crore from the bank’s funds. The case was filed by acting CEO Devarshi Ghosh, and Mehta, along with his associates, has been removing cash from the bank's vaults since the pandemic began without proper records, leading to his police custody till February 21.",1,False,False,False,True,False,False,False
"How can senior citizens benefit from SCSS? Interest rates, tax savings, and more.The Senior Citizens Savings Scheme offers senior citizens a safe investment option with a high interest rate of 8.2%, tax benefits, and flexibility for emergency withdrawals, ensuring regular income after retirement.",1,False,False,False,True,False,False,False
"UPI getting popular with merchants: Report.UPI P2M transactions have shown up to 100% growth from 2019 to 2024, significantly surpassing the P2P growth rate, as per RBI's latest report. This trend highlights the rising use of UPI for small, medium, and high-value transactions in retail settings, reflecting enhanced consumer trust and broader acceptance in business payments.",1,False,False,False,True,False,False,False
"How does the balance transfer facility work on credit cards, and how can you avail of it?.The balance transfer facility allows the transfer of credit card outstanding from one card to another at a lower interest rate with the ease of EMI payments.",1,False,False,False,True,False,False,False
"OpenAI board rejects Elon Musk’s $94.7b takeover bid.OpenAI explores fundraising with SoftBank, potentially valuing the company at US$300 billion.",1,True,False,True,True,False,False,False
"Investing via UPI: Daily transaction limit to be raised to ₹5 lakh from ₹2 lakh, says Sebi.The daily transaction limit currently stands at ₹2 lakh. This new limit will also be subject to further evaluations from time to time in consultation with NPCI.",1,False,False,False,True,False,True,False
"Bank of Baroda aims to double balance sheet in five years, CEO says.Bank of Baroda aims to double its balance sheet in five years and increase its loan market share while controlling costs, according to CEO Debadatta Chand. The lender plans to open 500 new branches within two years to boost deposit growth and disburse loans. The bank is also focusing on secured retail loans, particularly mortgages and auto loans.",1,False,False,False,True,False,False,False
Redeeming equity funds? Here’s how to track gains before withdrawal.Your account statement can be accessed either on the website of the mutual fund or as consolidated account statement from the website of the Registrar and Transfer Agency such as CAMS or KFintech.,1,False,False,False,True,False,False,False
"Swan Energy Q3 Results 2025 on 15 Feb, 2025: profit rise by 406.31% YOY, profit at ₹582.81 crore and revenue at ₹1908.19 crore.Swan Energy Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 19.89% YoY &amp; profit increased by 406.31% YoY, profit at ₹582.81 crore and revenue at ₹1908.19 crore",1,False,False,False,True,False,False,False
"New Income Tax Bill: Taxpayers can find the relevant provision through section-wise mapping utility. Check here.Income tax department has launched the new utility to enable taxpayers find the relevant provision in New Income Tax bill by navigating from the old Income Tax Act, 1961",1,False,False,False,False,True,True,False
"Bank holiday today: Are banks open today on Saturday, February 15 on occasion of Lui Ngai Ni? Check here.Bank holiday today: Banks are open today, February 15, except in Manipur for Lui Ngai Ni, a festival celebrating spring and the new year. February includes eight bank holidays in addition to weekends.",1,False,False,False,True,False,False,True
"Reliance Infrastructure Q3 net loss widens to ₹3,298.35 crore.The company's total income, however, rose to ₹5,129.07 crore from ₹4,717.09 crore in the same period a year ago",1,False,False,False,True,False,False,False
"NLC India shares rally 12% after 28% YoY rise in Q3 PAT and Rs 1.50/share dividend announcement.Shares of NLC India rose 12.2% to Rs 237.05 after posting a record Q3 PAT of Rs 2,245 crore, marking a 28% YoY growth. The company also declared an interim dividend of Rs 1.50 per share, with February 7 as the record date for eligibility and payments to be made by March 4.",1,False,False,False,True,False,False,False
"Amrutanjan Health Care Q3 Results 2025 on 15 Feb, 2025: profit rise by 10.32% YOY, profit at ₹19.25 crore and revenue at ₹122.75 crore.Amrutanjan Health Care Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 4.92% YoY &amp; profit increased by 10.32% YoY, profit at ₹19.25 crore and revenue at ₹122.75 crore",1,False,False,False,True,False,False,False
"Union Budget 2025: Firing up four engines of growth.The bold budget focuses on enhancing growth through agriculture, MSMEs, investments, and exports. It emphasizes fiscal responsibility, infrastructure development, and inclusive policies to boost productivity and employment. Reforms in tax brackets, regulatory support, and financial sector liberalization aim to strengthen India's global competitiveness and economic stability.",1,False,False,False,True,True,True,False
"Sanghvi Movers Q3 Results 2025 on 16 Feb, 2025: profit falls by 46.02% YOY, profit at ₹33.08 crore and revenue at ₹207.96 crore.Sanghvi Movers Q3 Results 2025 on 16 Feb, 2025: Revenue increased by 24.5% YoY &amp; profit decreased by 46.02% YoY, profit at ₹33.08 crore and revenue at ₹207.96 crore",1,False,False,False,True,False,False,False
"RINL repays overdue loans, comes out of special mention status.Banks with exposure to state-owned Rashtriya Ispat Nigam Ltd (RINL) received relief as the steelmaker cleared its overdue loans in January, turning the account from SMA-2 to regular. This allows banks to reverse provisions, enhancing fourth-quarter profits, though some plan to maintain provisions to boost their provision coverage ratio for financial stability.",1,False,False,False,True,False,False,False
RBI files application for insolvency proceedings against Aviom India Housing Finance.The Reserve Bank of India has initiated a corporate insolvency resolution process against Aviom India Housing Finance due to governance issues and payment defaults. A three-member advisory committee and an administrator have been appointed to manage the New Delhi-based firm during this process.,1,False,False,False,True,False,True,False
"From ToneTag To BorderPlus — Indian Startups Raised $270 Mn This Week.After weeks-long lull in private investments, funding momentum picked up in the world&#8217;s third largest startup ecosystem during the second&#8230;",1,False,False,False,True,False,False,False
"Arvee Laboratories India Q3 Results 2025 on 15 Feb, 2025: profit falls by 37.5% YOY, profit at ₹0.15 crore and revenue at ₹8.91 crore.Arvee Laboratories India Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 15.71% YoY &amp; profit decreased by 37.5% YoY, profit at ₹0.15 crore and revenue at ₹8.91 crore",1,False,False,False,True,False,False,False
"More accommodative stance for NBFCs, banks needed in RBI monetary policy: HSBC.The Reserve Bank of India's upcoming monetary policy announcement is anticipated to benefit NBFCs and banks through an accommodative stance. Continued liquidity support and regulatory relaxations are expected to sustain credit growth and manage funding costs, particularly favoring well-diversified and highly rated NBFCs.",1,False,False,False,True,False,True,False
Income Tax: ITR(U) filing deadline extended to 48 months–Key details you need to know.Income Tax: Now taxpayers have a longer timeframe of up to 48 months to file an updated income tax return which was 2 years earlier. The provision of ITR(U) was introduced in Budget 2022,1,False,False,False,False,False,True,False
"26 Nifty 50 companies have reported 4.4% YoY growth in Q3FY25 against 4.2% in Q2.Nifty 50 firms have reported weak earnings growth of 4.4 percent YoY for Q3FY25, lower than the expected 5.8 percent. Full-year EPS growth estimate is revised down to 3.8 percent. However, optimism remains for FY26.",1,False,False,False,True,False,False,False
"RBI governor Sanjay Malhotra flags risks, exhorts banks to ensure fin stability, inclusion.RBI Governor Sanjay Malhotra, in his first meeting with bank CEOs, raised concerns over the rise in digital frauds and urged banks to implement proactive systems to combat such risks. He emphasized financial stability, inclusion, digital literacy, and the affordability of credit.",1,False,False,False,True,False,True,False
"Smallcap valuations still high, but long-term buying opportunity may arise: Ashi Anand.Ashi Anand, CEO of IME Capital, highlights the overvaluation in smallcaps and recent correction. Despite a 20% fall, valuations remain high. Anand suggests a long-term perspective for buying opportunities. Tariffs by Trump may impact IT and pharma sectors, but exact outcomes remain uncertain.",1,False,False,False,True,False,False,False
"Stock market update: Stocks that hit 52-week lows on NSE.Trent, Hero MotoCorp, Titan Company, Maruti Suzuki and Britannia were among the top losers on NSE.",1,False,False,False,True,False,False,False
"Elgi Rubber Company Q3 Results 2025 on 16 Feb, 2025: loss rise by 82.29% YOY, loss at ₹3.5 crore and revenue at ₹91.48 crore.Elgi Rubber Company Q3 Results 2025 on 16 Feb, 2025: Revenue decreased by 3.41% YoY &amp; loss increased by 82.29% YoY, loss at ₹3.5 crore and revenue at ₹91.48 crore",1,False,False,False,True,False,False,False
"Stocks to buy today: Wipro, Kotak Bank among top 6 trading ideas for 4 February 2025.Experts suggest that Monday’s intraday low of around 23,200 is expected to serve as immediate support for the Nifty50. If this level is breached, the index could face further downside to the 23,100-23,000 range. On the upside, resistance is anticipated in the 23,500-23,600 range.",1,False,False,False,True,False,False,False
"Sensex jumps over 550 points, Nifty tops 23,500 as US tariff pause boosts Asian markets.Indian markets opened positively on Tuesday, with Sensex and Nifty rising significantly after the US paused tariffs on Canada and Mexico. This decision by President Trump to halt tariffs for 30 days has eased global trade tensions, leading to an increase in market capitalisation by Rs 3.11 lakh crore.",1,True,False,False,True,True,False,False
"New India Cooperative Bank accused sent to police custody till Feb. 21.Mumbai police on February 15, 2025 arrested Hitesh Mehta, General Manager and Head of Accounts of the New India Cooperative Bank, for allegedly misappropriating ₹122 crore from the bank",1,False,False,False,True,False,False,True
"RBI imposes Rs 68 lakh penalty on 2 banks.The Reserve Bank of India imposed penalties totalling Rs 68.1 lakh on Nainital Bank and Ujjivan Small Finance Bank for non-compliance with regulatory norms. Additionally, a penalty of Rs 5.80 lakh was levied on Shriram Finance for violating KYC guidelines and data reporting regulations. These penalties are based on deficiencies in regulatory compliance.",1,False,False,False,True,False,True,False
"Palred Technologies Q3 Results 2025 on 16 Feb, 2025: loss falls by 28.19% YOY, loss at ₹1.63 crore and revenue at ₹20.33 crore.Palred Technologies Q3 Results 2025 on 16 Feb, 2025: Revenue increased by 7.45% YoY &amp; loss decreased by 28.19% YoY, loss at ₹1.63 crore and revenue at ₹20.33 crore",1,False,False,False,True,False,False,False
"TCS salary hike: IT major set to increase annual salary up to 8% from April 2025 for fiscal year 2025-26.TCS salary hike: The IT major will increase annual salary up to 8 per cent from April 2025 for the fiscal year 2025-26, as per media reports. However, the firm's employees remain unhappy and are concerned about the dropping increment rates.&amp;nbsp;",1,False,False,False,True,False,False,False
"Budget impact: Grameen Credit Score likely to restore credit discipline in microfinance, say experts.Microfinance leaders anticipate the implementation of a new Grameen credit score framework to restore lending discipline following a decline in repayment culture. The proposed framework by Sitharaman aims to enhance creditworthiness among self-help groups and rural borrowers, potentially benefiting the entire sector and addressing issues of credit discipline.",1,False,False,False,True,True,True,False
"Cred joins RBI's digital currency project; first fintech to give access to CBDC.Cred becomes the first fintech platform in India to offer access to the e-rupee, a digital currency launched by the Reserve Bank of India. The rollout will initially target a select set of users with YES Bank facilitating the issuance of e-rupee tokens. Adoption of the digital currency has faced challenges globally.",1,False,False,True,True,False,False,False
"Trump, Tariffs &amp; Trades: Sensex ends in red for 8th straight day.Nifty fell 102 points, or 0.44%, to close at 22,929. Sensex declined 199 points, or 0.26%, to end at 75,939. Both indices have declined 2.5-2.7% this week. ""We have seen weakness in the market because, in recent days, even retail participants and HNIs(high networth individuals) have started booking profits along with FPIs,"" said Amit Khurana, head of equities at Dolat Capital Market.",1,False,False,False,True,False,False,False
"Airbnb shares surge 15% after strong Q4 earnings.Airbnb.org has assisted over 19,000 people and 2,300 pets from recent wildfires.",1,False,False,False,True,False,False,False
"Standard Chartered appoints P D Singh as CEO for India.Standard Chartered named P D Singh as the future CEO for India, succeeding Zarin Daruwala upon her retirement in 2025. Singh brings nearly three decades of banking experience from JP Morgan Chase and HSBC, poised to further drive growth and deliver value for the bank's stakeholders.",1,False,False,False,True,False,False,False
"Bank of India raises ₹2,690 crore through Infra Bonds.The funds raised through Long Term Bonds will be used for funding long term projects in infrastructure sub-sectors and affordable housing in accordance with RBI guidelines",1,False,False,False,True,False,False,False
Rapido To Launch Women-Only Bike Taxi Service In Karnataka: Report.Ride hailing unicorn Rapido is reportedly planning to launch an all-women “Pink” bike service in Karnataka by the end of&#8230;,1,False,False,False,True,False,False,True
"Mind Over Money: From CEO to Marathoner: Anuj Sonpal's journey of endurance and leadership.Anuj Sonpal, CEO of Valorem Advisors, transformed his high-stress corporate life by taking up running in 2019. His journey led to completing several marathons worldwide, including the Berlin Marathon. He shares how running has taught him patience, resilience, and discipline, positively impacting both his personal and professional life.",1,False,True,False,True,False,False,False
"Belcan growth uncertain as Trump administration looks to optimise federal spend.Belcan, which Cognizant acquired for $1.3 billion in June 2024, gets more than three-fourths of its business from commercial aerospace, defence and space, whereas 40% comes from US federal contracts. With the US clamping down on govt spending, sectors that contribute to Belcan’s growth may suffer.",1,False,False,False,True,True,False,False
"Glenmark Pharmaceuticals Q3 results 2025 on 15 Feb, 2025: profit at ₹347.96Cr, Revenue increased by 35.14% YoY.Glenmark Pharmaceuticals Q3 results 2025 on 15 Feb, 2025: Revenue increased by 35.14% YoY &amp; profit at ₹347.96Cr",1,False,False,False,True,False,False,False
"Govt mulling AI use to identify mule accounts to check cybercrime: Home Minister Amit Shah.The government plans to utilize Artificial Intelligence to identify mule accounts where cyber fraudsters park illegal funds. Home Minister Amit Shah highlights the blocking of apps and website links for national security, and preventive measures against suspicious transactions amounting to Rs 2,038 crore.",1,False,False,True,False,True,True,False
"Govt moves to streamline insurance sector compliance ahead of 100% FDI.The government plans to streamline compliance in the insurance sector by identifying redundant regulations, aiming for improved ease of business. Proposed amendments to the existing insurance laws will support 100% FDI and seek to enhance policyholder security and market competition.",1,False,False,False,True,True,True,False
"Rexnord Electronics & Controls Q3 Results 2025 on 16 Feb, 2025: profit falls by 39.68% YOY, profit at ₹0.76 crore and revenue at ₹23.87 crore.Rexnord Electronics &amp; Controls Q3 Results 2025 on 16 Feb, 2025: Revenue increased by 5.76% YoY &amp; profit decreased by 39.68% YoY, profit at ₹0.76 crore and revenue at ₹23.87 crore",1,False,False,False,True,False,False,False
"SIP inflows reach ₹26,400 crore: Do’s and don’ts for successful wealth building.In January 2025, SIP contributions nearly hit ₹26,400 crore, while equity mutual fund inflows fell by 3.6%. Investors are encouraged to consult financial advisors and adhere to best practices for maximizing returns.",1,False,False,False,True,False,False,False
"Positive Breakout: These 3 midcap stocks cross above their 200 DMAs.As long as the stock is priced above the 200-day SMA on the daily time frame, it is generally considered to be an overall uptrend.",2,False,False,False,True,False,False,False
"India's fledgling startups are ditching the growth-at-all-costs culture for an old favourite.Indian startups are recalibrating their strategies, with a majority of even early-stage companies prioritizing profitability over rapid growth. A recent survey reveals that 41% of early-stage founders have achieved operational profitability, highlighting a significant shift in mindset.",2,False,False,False,True,False,False,False
"Pickleball’s creating a racket in India, enough for investors to bet big on it.As Pickleball gains momentum in India, investors and startups are rushing to capitalize on the sport’s growth potential, positioning it as a key player in India’s fitness and leisure market.",2,False,True,False,True,False,False,False
"Stock market weakness to persist; selective approach key: Rahul Shah.So, if you look at the way the capital goods stocks were performing versus what they are now, so it is clearly a trend that 7% kind of a growth earlier which was 20 plus two years back.",2,False,False,False,True,False,False,False
"IndusInd Holdings to raise ₹800 cr for Invesco MF buy.IndusInd International Holdings (IIHL), backed by the Hinduja Group, seeks to raise ₹800 crore from Standard Chartered and other funds for a 60% stake acquisition in Invesco Asset Management (India). The deal awaits final approval from SEBI. A borrowing rate target of 11-12% is aimed, but private credit investors may find it unattractive.",2,False,False,False,True,False,True,False
RBI supersedes New India Co-operative Bank board for 12 months after imposing restrictions over lending irregularities.RBI's action was necessitated due to certain material concerns emanating from poor governance standards observed in the Mumbai-headquartered New India Co-operative Bank.,2,False,False,False,True,False,True,False
US State Dept pauses $400m armored EV plan involving Tesla.Tesla has previously received US$41.9 million in government vehicle-related contracts.,2,False,False,False,True,True,True,False
Kyndryl misses third-quarter revenue estimates as strong dollar weighs.KYNDRYL HOLDINGS-RESULTS/:Kyndryl misses third-quarter revenue estimates as strong dollar weighs,2,False,False,False,True,False,False,False
"India’s OTT Battle Turns Into JioHotstar Or Nothing.‘One ring to rule them all, and in the darkness, bind them’ — the situation perhaps not as morbid as&#8230;",2,False,False,False,True,False,False,False
"Narayana Hrudayalaya Q3 Results 2025 on 15 Feb, 2025: profit rise by 2.62% YOY, profit at ₹192.94 crore and revenue at ₹1366.68 crore.Narayana Hrudayalaya Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 13.55% YoY &amp; profit increased by 2.62% YoY, profit at ₹192.94 crore and revenue at ₹1366.68 crore",2,False,False,False,True,False,False,False
"Agentic AI: The Evolution Of Machines That Think For Themselves.In the annals of technological evolution, few concepts have sparked as much intrigue and debate as Agentic Artificial Intelligence (AI).&#8230;",2,False,False,True,False,False,False,False
"BSNL Q3 profit after 17 years at ₹262 crore.BSNL returns to profitability after 17 years, marking a significant turning point with growth in services and subscriber base",2,False,False,False,True,False,False,False
"Indian loyalty startup raises $1.85m seed funding.Almonds.ai serves channel partners like retailers and mechanics, partnering with over 100 distribution-driven firms.",2,False,False,True,True,False,False,False
"New India Cooperative Bank case: GM Hitesh Shah sent to police custody till Feb 21 for alleged Rs 122 cr fraud.New India Cooperative Bank's general manager, Hitesh Mehta, has been arrested for allegedly embezzling Rs 122 crore from the bank’s funds. The case was filed by acting CEO Devarshi Ghosh, and Mehta, along with his associates, has been removing cash from the bank's vaults since the pandemic began without proper records, leading to his police custody till February 21.",2,False,False,False,True,False,False,False
"How can senior citizens benefit from SCSS? Interest rates, tax savings, and more.The Senior Citizens Savings Scheme offers senior citizens a safe investment option with a high interest rate of 8.2%, tax benefits, and flexibility for emergency withdrawals, ensuring regular income after retirement.",2,False,False,False,True,False,False,False
"UPI getting popular with merchants: Report.UPI P2M transactions have shown up to 100% growth from 2019 to 2024, significantly surpassing the P2P growth rate, as per RBI's latest report. This trend highlights the rising use of UPI for small, medium, and high-value transactions in retail settings, reflecting enhanced consumer trust and broader acceptance in business payments.",2,False,False,False,True,False,False,False
"How does the balance transfer facility work on credit cards, and how can you avail of it?.The balance transfer facility allows the transfer of credit card outstanding from one card to another at a lower interest rate with the ease of EMI payments.",2,False,False,False,True,False,False,False
"OpenAI board rejects Elon Musk’s $94.7b takeover bid.OpenAI explores fundraising with SoftBank, potentially valuing the company at US$300 billion.",2,True,False,False,True,False,False,False
"Investing via UPI: Daily transaction limit to be raised to ₹5 lakh from ₹2 lakh, says Sebi.The daily transaction limit currently stands at ₹2 lakh. This new limit will also be subject to further evaluations from time to time in consultation with NPCI.",2,False,False,False,True,False,True,False
"Bank of Baroda aims to double balance sheet in five years, CEO says.Bank of Baroda aims to double its balance sheet in five years and increase its loan market share while controlling costs, according to CEO Debadatta Chand. The lender plans to open 500 new branches within two years to boost deposit growth and disburse loans. The bank is also focusing on secured retail loans, particularly mortgages and auto loans.",2,False,False,False,True,False,False,False
Redeeming equity funds? Here’s how to track gains before withdrawal.Your account statement can be accessed either on the website of the mutual fund or as consolidated account statement from the website of the Registrar and Transfer Agency such as CAMS or KFintech.,2,False,False,False,True,False,False,False
"Swan Energy Q3 Results 2025 on 15 Feb, 2025: profit rise by 406.31% YOY, profit at ₹582.81 crore and revenue at ₹1908.19 crore.Swan Energy Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 19.89% YoY &amp; profit increased by 406.31% YoY, profit at ₹582.81 crore and revenue at ₹1908.19 crore",2,False,False,False,True,False,False,False
"New Income Tax Bill: Taxpayers can find the relevant provision through section-wise mapping utility. Check here.Income tax department has launched the new utility to enable taxpayers find the relevant provision in New Income Tax bill by navigating from the old Income Tax Act, 1961",2,False,False,False,False,True,True,False
"Bank holiday today: Are banks open today on Saturday, February 15 on occasion of Lui Ngai Ni? Check here.Bank holiday today: Banks are open today, February 15, except in Manipur for Lui Ngai Ni, a festival celebrating spring and the new year. February includes eight bank holidays in addition to weekends.",2,False,False,False,True,False,False,True
"Reliance Infrastructure Q3 net loss widens to ₹3,298.35 crore.The company's total income, however, rose to ₹5,129.07 crore from ₹4,717.09 crore in the same period a year ago",2,False,False,False,True,False,False,False
"NLC India shares rally 12% after 28% YoY rise in Q3 PAT and Rs 1.50/share dividend announcement.Shares of NLC India rose 12.2% to Rs 237.05 after posting a record Q3 PAT of Rs 2,245 crore, marking a 28% YoY growth. The company also declared an interim dividend of Rs 1.50 per share, with February 7 as the record date for eligibility and payments to be made by March 4.",2,False,False,False,True,False,False,False
"Amrutanjan Health Care Q3 Results 2025 on 15 Feb, 2025: profit rise by 10.32% YOY, profit at ₹19.25 crore and revenue at ₹122.75 crore.Amrutanjan Health Care Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 4.92% YoY &amp; profit increased by 10.32% YoY, profit at ₹19.25 crore and revenue at ₹122.75 crore",2,False,False,False,True,False,False,False
"Union Budget 2025: Firing up four engines of growth.The bold budget focuses on enhancing growth through agriculture, MSMEs, investments, and exports. It emphasizes fiscal responsibility, infrastructure development, and inclusive policies to boost productivity and employment. Reforms in tax brackets, regulatory support, and financial sector liberalization aim to strengthen India's global competitiveness and economic stability.",2,False,False,False,True,True,True,False
"Sanghvi Movers Q3 Results 2025 on 16 Feb, 2025: profit falls by 46.02% YOY, profit at ₹33.08 crore and revenue at ₹207.96 crore.Sanghvi Movers Q3 Results 2025 on 16 Feb, 2025: Revenue increased by 24.5% YoY &amp; profit decreased by 46.02% YoY, profit at ₹33.08 crore and revenue at ₹207.96 crore",2,False,False,False,True,False,False,False
"RINL repays overdue loans, comes out of special mention status.Banks with exposure to state-owned Rashtriya Ispat Nigam Ltd (RINL) received relief as the steelmaker cleared its overdue loans in January, turning the account from SMA-2 to regular. This allows banks to reverse provisions, enhancing fourth-quarter profits, though some plan to maintain provisions to boost their provision coverage ratio for financial stability.",2,False,False,False,True,False,False,False
RBI files application for insolvency proceedings against Aviom India Housing Finance.The Reserve Bank of India has initiated a corporate insolvency resolution process against Aviom India Housing Finance due to governance issues and payment defaults. A three-member advisory committee and an administrator have been appointed to manage the New Delhi-based firm during this process.,2,False,False,False,True,False,True,False
"From ToneTag To BorderPlus — Indian Startups Raised $270 Mn This Week.After weeks-long lull in private investments, funding momentum picked up in the world&#8217;s third largest startup ecosystem during the second&#8230;",2,False,False,False,True,False,False,False
"Arvee Laboratories India Q3 Results 2025 on 15 Feb, 2025: profit falls by 37.5% YOY, profit at ₹0.15 crore and revenue at ₹8.91 crore.Arvee Laboratories India Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 15.71% YoY &amp; profit decreased by 37.5% YoY, profit at ₹0.15 crore and revenue at ₹8.91 crore",2,False,False,False,True,False,False,False
"More accommodative stance for NBFCs, banks needed in RBI monetary policy: HSBC.The Reserve Bank of India's upcoming monetary policy announcement is anticipated to benefit NBFCs and banks through an accommodative stance. Continued liquidity support and regulatory relaxations are expected to sustain credit growth and manage funding costs, particularly favoring well-diversified and highly rated NBFCs.",2,False,False,False,True,False,True,False
Income Tax: ITR(U) filing deadline extended to 48 months–Key details you need to know.Income Tax: Now taxpayers have a longer timeframe of up to 48 months to file an updated income tax return which was 2 years earlier. The provision of ITR(U) was introduced in Budget 2022,2,False,False,False,False,False,True,False
"26 Nifty 50 companies have reported 4.4% YoY growth in Q3FY25 against 4.2% in Q2.Nifty 50 firms have reported weak earnings growth of 4.4 percent YoY for Q3FY25, lower than the expected 5.8 percent. Full-year EPS growth estimate is revised down to 3.8 percent. However, optimism remains for FY26.",2,False,False,False,True,False,False,False
"RBI governor Sanjay Malhotra flags risks, exhorts banks to ensure fin stability, inclusion.RBI Governor Sanjay Malhotra, in his first meeting with bank CEOs, raised concerns over the rise in digital frauds and urged banks to implement proactive systems to combat such risks. He emphasized financial stability, inclusion, digital literacy, and the affordability of credit.",2,False,False,False,True,False,True,False
"Smallcap valuations still high, but long-term buying opportunity may arise: Ashi Anand.Ashi Anand, CEO of IME Capital, highlights the overvaluation in smallcaps and recent correction. Despite a 20% fall, valuations remain high. Anand suggests a long-term perspective for buying opportunities. Tariffs by Trump may impact IT and pharma sectors, but exact outcomes remain uncertain.",2,False,False,False,True,True,True,False
"Stock market update: Stocks that hit 52-week lows on NSE.Trent, Hero MotoCorp, Titan Company, Maruti Suzuki and Britannia were among the top losers on NSE.",2,False,False,False,True,False,False,False
"Elgi Rubber Company Q3 Results 2025 on 16 Feb, 2025: loss rise by 82.29% YOY, loss at ₹3.5 crore and revenue at ₹91.48 crore.Elgi Rubber Company Q3 Results 2025 on 16 Feb, 2025: Revenue decreased by 3.41% YoY &amp; loss increased by 82.29% YoY, loss at ₹3.5 crore and revenue at ₹91.48 crore",2,False,False,False,True,False,False,False
"Stocks to buy today: Wipro, Kotak Bank among top 6 trading ideas for 4 February 2025.Experts suggest that Monday’s intraday low of around 23,200 is expected to serve as immediate support for the Nifty50. If this level is breached, the index could face further downside to the 23,100-23,000 range. On the upside, resistance is anticipated in the 23,500-23,600 range.",2,False,False,False,True,False,False,False
"Sensex jumps over 550 points, Nifty tops 23,500 as US tariff pause boosts Asian markets.Indian markets opened positively on Tuesday, with Sensex and Nifty rising significantly after the US paused tariffs on Canada and Mexico. This decision by President Trump to halt tariffs for 30 days has eased global trade tensions, leading to an increase in market capitalisation by Rs 3.11 lakh crore.",2,True,False,False,True,True,True,False
"New India Cooperative Bank accused sent to police custody till Feb. 21.Mumbai police on February 15, 2025 arrested Hitesh Mehta, General Manager and Head of Accounts of the New India Cooperative Bank, for allegedly misappropriating ₹122 crore from the bank",2,False,False,False,True,False,False,True
